Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
888,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3320,3204,10112,3.045783133,0.965060241,,I,8,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3442,3381,9080,2.638001162,0.982277745,NEG,NOT DETECTED,I8,TRUE
889,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3384,4767,256,0.075650118,1.408687943,,J,8,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3594,4886,238,0.06622148,1.359488036,NEG,VOID,J8,TRUE
890,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3056,33922,11362,3.717931937,11.10013089,,K,8,2,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3200,34921,11443,3.5759375,10.9128125,POS,DETECTED,K8,TRUE
891,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3527,5000,269,0.076268784,1.417635384,,L,8,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3184,4399,209,0.065640704,1.381595477,NEG,VOID,L8,TRUE
892,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2956,3275,8842,2.99120433,1.107916103,,M,8,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3005,3623,8142,2.709484193,1.205657238,NEG,NOT DETECTED,M8,TRUE
893,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2844,4332,164,0.05766526,1.523206751,,N,8,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3484,4869,205,0.058840413,1.397531573,NEG,VOID,N8,TRUE
894,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2846,3167,8404,2.952916374,1.112789881,,O,8,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3057,3263,8293,2.712790317,1.067386326,NEG,NOT DETECTED,O8,TRUE
895,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2751,4155,111,0.040348964,1.510359869,,P,8,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2740,3820,145,0.052919708,1.394160584,NEG,VOID,P8,TRUE
896,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3544,3610,10168,2.869074492,1.018623025,,A,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3484,3444,9077,2.605338691,0.988518944,NEG,NOT DETECTED,A9,TRUE
897,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3597,3617,10835,3.012232416,1.005560189,,B,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3175,3126,8747,2.75496063,0.984566929,NEG,NOT DETECTED,B9,TRUE
898,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3525,3629,10373,2.942695035,1.029503546,,C,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2761,2694,9013,3.264396958,0.97573343,NEG,NOT DETECTED,C9,TRUE
899,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3275,3348,9648,2.945954198,1.022290076,,D,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2538,2405,7970,3.140267928,0.947596533,NEG,NOT DETECTED,D9,TRUE
900,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3454,3556,10138,2.935147655,1.029530979,,E,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3603,3573,9354,2.596169858,0.991673605,NEG,NOT DETECTED,E9,TRUE
901,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3276,4673,299,0.091269841,1.426434676,,F,9,3,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3496,4715,257,0.073512586,1.348684211,NEG,VOID,F9,TRUE
902,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3312,3316,10165,3.069142512,1.001207729,,G,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3078,2891,8586,2.789473684,0.939246264,NEG,NOT DETECTED,G9,TRUE
903,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3448,3299,10626,3.081786543,0.956786543,,H,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3149,2809,9007,2.860273103,0.892029216,NEG,NOT DETECTED,H9,TRUE
904,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3420,3277,10491,3.06754386,0.958187135,,I,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3345,2981,9601,2.870254111,0.891180867,NEG,NOT DETECTED,I9,TRUE
905,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3453,4910,275,0.079640892,1.421951926,,J,9,3,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3492,4763,331,0.094788087,1.3639748,NEG,VOID,J9,TRUE
906,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3198,3234,9475,2.962789243,1.011257036,,K,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3411,3314,9275,2.719143946,0.971562592,NEG,NOT DETECTED,K9,TRUE
907,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3110,3282,9029,2.903215434,1.055305466,,L,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3117,3166,9065,2.908245107,1.015720244,NEG,NOT DETECTED,L9,TRUE
908,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3276,3568,8971,2.738400488,1.089133089,,M,9,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3441,3557,8727,2.536181343,1.03371113,NEG,NOT DETECTED,M9,TRUE
909,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3203,3504,9202,2.872931627,1.093974399,,N,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3065,3078,8732,2.848939641,1.004241436,NEG,NOT DETECTED,N9,TRUE
910,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2685,31352,8251,3.072998138,11.67672253,,O,9,1,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3368,40514,11426,3.392517815,12.02909739,POS,DETECTED,O9,TRUE
911,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2785,3105,8542,3.067145422,1.114901257,,P,9,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3096,3327,8345,2.695413437,1.074612403,NEG,NOT DETECTED,P9,TRUE
912,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3651,3852,10735,2.940290331,1.05505341,,A,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2896,2815,8140,2.810773481,0.972030387,NEG,NOT DETECTED,A10,TRUE
913,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3745,5251,254,0.067823765,1.402136182,,B,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3314,4476,138,0.041641521,1.350633675,NEG,VOID,B10,TRUE
914,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3399,3449,9705,2.855251545,1.014710209,,C,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3300,3256,8916,2.701818182,0.986666667,NEG,NOT DETECTED,C10,TRUE
915,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3488,4895,274,0.078555046,1.403383028,,D,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2953,4156,210,0.071114121,1.407382323,NEG,VOID,D10,TRUE
916,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3322,3397,10138,3.051776039,1.022576761,,E,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3316,3208,9387,2.830820265,0.967430639,NEG,NOT DETECTED,E10,TRUE
917,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3231,4594,163,0.050448777,1.42185082,,F,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3060,4368,243,0.079411765,1.42745098,NEG,VOID,F10,TRUE
918,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2998,33913,11142,3.716477652,11.31187458,,G,10,2,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2767,34251,10945,3.955547524,12.37838815,POS,DETECTED,G10,TRUE
919,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3442,4872,294,0.085415456,1.41545613,,H,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3024,4322,242,0.080026455,1.429232804,NEG,VOID,H10,TRUE
920,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3455,3263,10607,3.070043415,0.944428365,,I,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2943,2559,9629,3.271831464,0.869520897,NEG,NOT DETECTED,I10,TRUE
921,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3181,4505,346,0.108770827,1.416221314,,J,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3401,4593,241,0.070861511,1.350485151,NEG,VOID,J10,TRUE
922,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3000,3024,9084,3.028,1.008,,K,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3444,3305,9824,2.852497096,0.959639954,NEG,NOT DETECTED,K10,TRUE
923,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3012,4242,414,0.137450199,1.408366534,,L,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3078,4394,221,0.07179987,1.427550357,NEG,VOID,L10,TRUE
924,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2916,34340,8960,3.072702332,11.77640604,,M,10,2,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2761,34508,8957,3.244114451,12.49837016,POS,DETECTED,M10,TRUE
925,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3075,4380,268,0.087154472,1.424390244,,N,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3377,4730,249,0.073734084,1.400651466,NEG,VOID,N10,TRUE
926,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2797,3054,7798,2.787987129,1.091884162,,O,10,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3622,3601,9996,2.759801215,0.994202098,NEG,NOT DETECTED,O10,TRUE
927,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2737,3915,91,0.033248082,1.430398246,,P,10,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2871,3980,164,0.057122954,1.386276559,NEG,VOID,P10,TRUE
928,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3725,3597,10799,2.899060403,0.965637584,,A,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3429,3190,9234,2.692913386,0.930300379,NEG,NOT DETECTED,A11,TRUE
929,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3627,3807,10337,2.850013785,1.049627792,,B,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3384,3277,9114,2.693262411,0.968380615,NEG,NOT DETECTED,B11,TRUE
930,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3654,3773,9873,2.701970443,1.03256705,,C,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3253,3190,8821,2.711650784,0.980633262,NEG,NOT DETECTED,C11,TRUE
931,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3398,3449,10155,2.98852266,1.015008829,,D,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2842,2783,8509,2.994018297,0.979239972,NEG,NOT DETECTED,D11,TRUE
932,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3463,3533,10435,3.01328328,1.020213688,,E,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3309,3182,9591,2.898458749,0.961619825,NEG,NOT DETECTED,E11,TRUE
933,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3275,3415,9914,3.027175573,1.042748092,,F,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3460,3323,9923,2.867919075,0.960404624,NEG,NOT DETECTED,F11,TRUE
934,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3391,3418,9982,2.943674432,1.007962253,,G,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3443,3216,9569,2.779262271,0.934069126,NEG,NOT DETECTED,G11,TRUE
935,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3369,3265,10226,3.035322054,0.969130306,,H,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3152,3069,10110,3.20748731,0.973667513,NEG,NOT DETECTED,H11,TRUE
936,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3283,3241,10146,3.090466037,0.987206823,,I,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3392,3175,9865,2.908313679,0.936025943,NEG,NOT DETECTED,I11,TRUE
937,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3242,33580,12028,3.710055521,10.35780382,,J,11,3,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3307,35549,11745,3.551557303,10.74962201,POS,DETECTED,J11,TRUE
938,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2721,2718,8621,3.16832047,0.998897464,,K,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3167,3009,9316,2.941585096,0.950110515,NEG,NOT DETECTED,K11,TRUE
939,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3123,3638,8414,2.694204291,1.16490554,,L,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2941,2912,8904,3.027541652,0.990139408,NEG,NOT DETECTED,L11,TRUE
940,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3275,3561,9124,2.785954198,1.087328244,,M,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3546,3746,8551,2.411449521,1.056401579,NEG,NOT DETECTED,M11,TRUE
941,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3168,3395,9056,2.858585859,1.07165404,,N,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3347,3254,10336,3.088138632,0.972213923,NEG,NOT DETECTED,N11,TRUE
942,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3028,3667,8127,2.683949802,1.211030383,,O,11,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3115,3211,8943,2.87094703,1.03081862,NEG,NOT DETECTED,O11,TRUE
943,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2993,3350,8659,2.893083862,1.119278316,,P,11,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2612,2778,6958,2.663859112,1.063552833,NEG,NOT DETECTED,P11,TRUE
944,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,4094,4125,10239,2.50097704,1.007572057,,A,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3160,2975,8875,2.808544304,0.941455696,NEG,NOT DETECTED,A12,TRUE
945,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3661,5111,310,0.084676318,1.396066648,,B,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2896,4089,242,0.083563536,1.411947514,NEG,VOID,B12,TRUE
946,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3635,3641,10685,2.939477304,1.001650619,,C,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3289,3341,8389,2.55062329,1.015810277,NEG,NOT DETECTED,C12,TRUE
947,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3503,4940,287,0.081929774,1.410219812,,D,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3100,4401,227,0.073225806,1.419677419,NEG,VOID,D12,TRUE
948,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3053,34474,11594,3.797576155,11.29184409,,E,12,2,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2930,35268,11401,3.89112628,12.03686007,POS,DETECTED,E12,TRUE
949,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3196,4555,128,0.040050063,1.425219024,,F,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3388,4586,254,0.074970484,1.353600945,NEG,VOID,F12,TRUE
950,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3467,3500,9917,2.860398039,1.009518316,,G,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3069,2956,8934,2.911045943,0.963180189,NEG,NOT DETECTED,G12,TRUE
951,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3098,4590,316,0.102001291,1.481601033,,H,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3250,4544,254,0.078153846,1.398153846,NEG,VOID,H12,TRUE
952,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2731,2599,8642,3.164408642,0.951666056,,I,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3218,3054,9980,3.101305158,0.949036669,NEG,NOT DETECTED,I12,TRUE
953,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3508,4924,337,0.096066135,1.403648803,,J,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3220,4484,275,0.085403727,1.392546584,NEG,VOID,J12,TRUE
954,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3198,3236,9283,2.90275172,1.011882427,,K,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3273,3203,8806,2.690498014,0.978612893,NEG,NOT DETECTED,K12,TRUE
955,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3372,4758,308,0.091340451,1.411032028,,L,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3103,4433,231,0.074444086,1.428617467,NEG,VOID,L12,TRUE
956,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2877,33075,8676,3.015641293,11.49635036,,M,12,2,POOL00008695,POS,DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2731,34029,9903,3.626144269,12.46027096,POS,DETECTED,M12,TRUE
957,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3073,4312,260,0.084607875,1.403189066,,N,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3178,4492,246,0.077407174,1.41346759,NEG,VOID,N12,TRUE
958,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3012,3272,8314,2.760292165,1.086321381,,O,12,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3556,3495,10315,2.900731159,0.982845894,NEG,NOT DETECTED,O12,TRUE
959,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3002,4226,155,0.051632245,1.407728181,,P,12,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2288,3218,177,0.07736014,1.406468531,NEG,VOID,P12,TRUE
960,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3954,3862,10759,2.721041983,0.976732423,,A,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2844,2706,7969,2.802039381,0.951476793,NEG,NOT DETECTED,A13,TRUE
961,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3694,3644,10572,2.861938278,0.986464537,,B,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3722,3601,9794,2.631380978,0.967490596,NEG,NOT DETECTED,B13,TRUE
962,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3655,3629,10521,2.878522572,0.992886457,,C,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3188,3108,8608,2.700125471,0.974905897,NEG,NOT DETECTED,C13,TRUE
963,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3450,4844,292,0.084637681,1.404057971,,D,13,3,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2862,4059,235,0.082110412,1.418238994,NEG,VOID,D13,TRUE
964,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3708,3760,10814,2.91639698,1.014023732,,E,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3371,3294,9309,2.761495105,0.977158113,NEG,NOT DETECTED,E13,TRUE
965,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3362,3454,10006,2.97620464,1.027364664,,F,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3128,3025,9635,3.080242967,0.967071611,NEG,NOT DETECTED,F13,TRUE
966,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3470,3506,10116,2.915273775,1.01037464,,G,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3278,3127,9846,3.003660769,0.953935326,NEG,NOT DETECTED,G13,TRUE
967,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3516,3476,10805,3.073094425,0.988623436,,H,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3268,2885,10196,3.11995104,0.882802938,NEG,NOT DETECTED,H13,TRUE
968,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3562,3302,10733,3.013194834,0.927007299,,I,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3260,2857,10338,3.171165644,0.876380368,NEG,NOT DETECTED,I13,TRUE
969,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3641,3639,10594,2.909640209,0.9994507,,J,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3491,3370,10152,2.90804927,0.965339444,NEG,NOT DETECTED,J13,TRUE
970,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3492,3490,10294,2.947880871,0.999427262,,K,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3270,3164,9628,2.944342508,0.967584098,NEG,NOT DETECTED,K13,TRUE
971,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3438,3663,9829,2.85892961,1.065445026,,L,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3562,3638,9610,2.697922515,1.021336328,NEG,NOT DETECTED,L13,TRUE
972,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3210,3422,8884,2.767601246,1.066043614,,M,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3229,3362,8734,2.704862186,1.041189223,NEG,NOT DETECTED,M13,TRUE
973,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2936,3149,7858,2.676430518,1.072547684,,N,13,3,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3147,3307,8271,2.62821735,1.050842072,NEG,NOT DETECTED,N13,TRUE
974,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3015,3349,8072,2.677280265,1.110779436,,O,13,1,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3379,3557,9250,2.737496301,1.052678307,NEG,NOT DETECTED,O13,TRUE
975,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,2981,4242,158,0.053002348,1.423012412,,P,13,3,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3360,4771,263,0.07827381,1.419940476,NEG,VOID,P13,TRUE
976,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,4098,3959,11457,2.795754026,0.966081015,,A,14,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3038,2898,8782,2.890717577,0.953917051,NEG,NOT DETECTED,A14,TRUE
977,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3553,4904,275,0.077399381,1.380242049,,B,14,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2620,3813,208,0.079389313,1.455343511,NEG,VOID,B14,TRUE
978,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3598,3570,10114,2.811006115,0.992217899,,C,14,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,2979,2860,9350,3.138637127,0.960053709,NEG,NOT DETECTED,C14,TRUE
979,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3592,5000,283,0.078786192,1.391982183,,D,14,4,POOL00008695,NEG,VOID,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3091,4415,239,0.077321255,1.428340343,NEG,VOID,D14,TRUE
980,799358,2021:12:15:14:38:35,00890018002017.00620201110.799358,3403,3382,10205,2.998824567,0.993828974,,E,14,2,POOL00008695,NEG,NOT DETECTED,606436,2021:12:15:20:04:41,00890018002017.00620210114.606436,3346,3194,9960,2.976688583,0.954572624,NEG,NOT DETECTED,E14,TRUE
