Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
118,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2991,2701,7399,2.473754597,0.903042461,,G,8,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2448,2290,5982,2.443627451,0.935457516,NEG,NOT DETECTED,G8,TRUE
119,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2149,2783,143,0.066542578,1.29502094,,H,8,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2468,3170,104,0.042139384,1.284440843,NEG,VOID,H8,TRUE
120,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2771,2369,7401,2.67087694,0.854926019,,I,8,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3078,2736,8075,2.62345679,0.888888889,NEG,NOT DETECTED,I8,TRUE
121,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2345,3043,159,0.067803838,1.297654584,,J,8,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3162,4126,168,0.05313093,1.304870335,NEG,VOID,J8,TRUE
122,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2638,2560,6947,2.63343442,0.970432146,,K,8,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2372,2246,6119,2.579679595,0.94688027,NEG,NOT DETECTED,K8,TRUE
123,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2735,3466,184,0.067276051,1.267276051,,L,8,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2504,3292,96,0.038338658,1.314696486,NEG,VOID,L8,TRUE
124,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2574,2690,6141,2.385780886,1.045066045,,M,8,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2379,2406,5724,2.406052963,1.011349306,NEG,NOT DETECTED,M8,TRUE
125,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2480,3102,76,0.030645161,1.250806452,,N,8,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2423,3213,112,0.04622369,1.326042097,NEG,VOID,N8,TRUE
126,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2295,2351,5592,2.436601307,1.024400871,,O,8,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2529,2584,5930,2.344800316,1.021747726,NEG,NOT DETECTED,O8,TRUE
127,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2283,2839,168,0.073587385,1.243539203,,P,8,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2355,3087,117,0.049681529,1.310828025,NEG,VOID,P8,TRUE
128,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2524,2441,6124,2.426307448,0.967115689,,A,9,1,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3097,2936,7295,2.355505328,0.948014207,NEG,NOT DETECTED,A9,TRUE
129,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3166,3114,7755,2.449463045,0.98357549,,B,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2865,2775,6757,2.358464223,0.968586387,NEG,NOT DETECTED,B9,TRUE
